"Nombre","Latitud","Longitud"
"CENTRO DE SALUD SAN LUCAS EVANGELISTA TLAJOMULCO DE ZUÑIGA","20.406111","-103.350001"
"SERVICIOS MEDICOS MUNICIPALES ACATLAN DE JUAREZ","20.417946","-103.596088"
"CASA EJIDAL EL PLAN ACATLAN DE JUAREZ","20.418082","-103.607568"
"DIF EL PLAN ACATLAN DE JUAREZ","20.418884","-103.607487"
"SUBREGION CENTRO ACATLAN ACATLAN DE JUAREZ","20.419484","-103.593014"
"CENTRO DE SALUD ACATLAN DE JUAREZ ACATLAN DE JUAREZ","20.419901","-103.596001"
"PRESIDENCIA MUNICIPAL DE ACATLAN DE JUAREZ ACATLAN DE JUAREZ","20.422455","-103.592689"
"DIF ACATLAN DE JUAREZ ACATLAN DE JUAREZ","20.422601","-103.592877"
"OBRAS PUBLICAS ACATLAN DE JUAREZ","20.42276","-103.590047"
"CASA EJIDAL ACATLAN DE JUAREZ 1 ACATLAN DE JUAREZ","20.423146","-103.590714"
"CASA EJIDAL ACATLAN DE JUAREZ 2 ACATLAN DE JUAREZ","20.423554","-103.592735"
"DIF MIRAVALLE ACATLAN DE JUAREZ","20.426946","-103.586432"
"DELEGACION MIRAVALLE ACATLAN DE JUAREZ","20.427165","-103.588069"
"CASA EJIDAL MIRAVALLE ACATLAN DE JUAREZ","20.427328","-103.586656"
"CASA EJIDAL LA RESOLANA ACATLAN DE JUAREZ","20.427378","-103.599209"
"DELEGACION LA RESOLANA ACATLAN DE JUAREZ","20.428559","-103.600689"
"DIF LA RESOLANA ACATLAN DE JUAREZ","20.428609","-103.600762"
"CASA EJIDAL BELLAVISTA ACATLAN DE JUAREZ","20.435652","-103.636643"
"REGISTRO CIVIL ACATLAN DE JUAREZ","20.436259","-103.634449"
"DELEGACION BELLAVISTA ACATLAN DE JUAREZ","20.436382","-103.634371"
"CENTRO DE SALUD TLAJOMULCO DE ZUNIGA TLAJOMULCO DE ZUÑIGA","20.475901","-103.452001"
"CENTRO DE SALUD LA ALAMEDA TLAJOMULCO DE ZUÑIGA","20.496584","-103.250158"
"CENTRO DE ATENCION INTEGRAL EN SALUD MENTAL ESTANCIA PROLONGADA TLAJOMULCO DE ZUÑIGA","20.505101","-103.294001"
"BIBLIOTECA PUBLICA MUNICIPAL TLAJOMULCO DE ZUÑIGA","20.50542","-103.363312"
"CENTRO DE ATENCION PRIMARIA EN ADICCIONES NUEVA VIDA TLAJOMULCO TLAJOMULCO DE ZUÑIGA","20.518601","-103.376001"
"CENTRO DE SALUD SAN ISIDRO MAZATEPEC TALA","20.522078","-103.614604"
"UNIDAD DE ATENCION A LA VIOLENCIA INTRAFAMILIAR TLAJOMULCO DE ZUNIGA TLAJOMULCO DE ZUÑIGA","20.523925","-103.372172"
"ESTACION DE MONITOREO  ATMOSFERICO SANTA FE TLAJOMULCO DE ZUÑIGA","20.528912","-103.377146"
"CENTRO DE SALUD SAN SEBASTIAN EL GRANDE TLAJOMULCO DE ZUÑIGA","20.529281","-103.430361"
"CENTRO DE SALUD NICOLAS R. CASILLAS TLAJOMULCO DE ZUÑIGA","20.547701","-103.468001"
"OFICINA DE REGISTRO CIVIL NO. 4 (SANTA ANITA) SAN PEDRO TLAQUEPAQUE","20.549251","-103.441744"
"BIBLIOTECA 10 SANTA ANITA SAN PEDRO TLAQUEPAQUE","20.549439","-103.442311"
"CENTRO DE SALUD SANTA ANITA SAN PEDRO TLAQUEPAQUE","20.551901","-103.447001"
"SECTOR DE ZONA 5 SAN PEDRO TLAQUEPAQUE","20.554631","-103.439332"
"CENTRO DE SALUD LA HUIZACHERA TLAJOMULCO DE ZUÑIGA","20.560576","-103.332189"
"BIBLIOTECA 8 TOLUQUILLA SAN PEDRO TLAQUEPAQUE","20.577344","-103.369758"
"DELEGACION TOLUQUILLA SAN PEDRO TLAQUEPAQUE","20.577904","-103.369747"
"DELEGACION ZAPOTLANEJO","20.57991","-103.122979"
"CENTRO DE SALUD PINTAS DE ABAJO SAN PEDRO TLAQUEPAQUE","20.581671","-103.330831"
"PLANTA DE REBOMBEO 2 SAN PEDRO TLAQUEPAQUE","20.581878","-103.336783"
"OFICINA DE REGISTRO CIVIL NO. 15 SAN PEDRO TLAQUEPAQUE","20.581967","-103.389547"
"DELEGACION SAN SEBASTIANITO SAN PEDRO TLAQUEPAQUE","20.582137","-103.386302"
"UNIDAD DE ATENCION A LA VIOLENCIA INTRAFAMILIAR SAN PEDRO TLAQUEPAQUE SAN PEDRO TLAQUEPAQUE","20.582397","-103.335536"
"CENTRO DE SALUD JAUJA TONALA","20.586101","-103.225871"
"CENTRO DE SALUD SAN JOSE TATEPOSCO TONALA","20.586296","-103.225911"
"CENTRO INTEGRAL DE SALUD MENTAL TLAQUEPAQUE SAN PEDRO TLAQUEPAQUE","20.586321","-103.307581"
"CENTRO DE SALUD LOMAS DEL 4 SAN PEDRO TLAQUEPAQUE","20.588001","-103.348001"
"OFICINA DE REGISTRO CIVIL NO. 6 (SAN SEBASTIANITO) SAN PEDRO TLAQUEPAQUE","20.588606","-103.387186"
"UNIDAD MEDICA LA GUADALUPANA SAN PEDRO TLAQUEPAQUE","20.592906","-103.325307"
"C.D.C. NO. 25 EL CAMPANARIO ZAPOPAN","20.5932629","-103.4367116"
"CENTRO DE SALUD LA DURAZNERA SAN PEDRO TLAQUEPAQUE","20.59397","-103.319039"
"CENTRO DE SALUD URBANO MANUEL LOPEZ COTILLA SAN PEDRO TLAQUEPAQUE","20.593961","-103.319161"
"CENTRO DE SALUD SANTA MARIA TEQUEPEXPAN SAN PEDRO TLAQUEPAQUE","20.596591","-103.393651"
"SECTOR DE ZONA 2 SAN PEDRO TLAQUEPAQUE","20.596718","-103.28251"
"BIBLIOTECA 6 SANTA MARIA TEQUEPEXPAN SAN PEDRO TLAQUEPAQUE","20.596932","-103.394135"
"CENTRO DE SALUD SAN MARTIN DE LAS FLORES SAN PEDRO TLAQUEPAQUE","20.597501","-103.288001"
"CENTRO DE SALUD SANTA PAULA TONALA","20.598017","-103.242915"
"CENTRO DE SALUD URBANO TOLUQUILLA SAN PEDRO TLAQUEPAQUE","20.598201","-103.277001"
"OFICINA DE REGISTRO CIVIL NO. 9 (SAN MARTIN DE LAS FLORES) SAN PEDRO TLAQUEPAQUE","20.600546","-103.284063"
