Nombre,Latitud,Longitud
"213, 302, 310, 323, 339 y 348, inicio",20.713524,-102.335736
"213, 302, 310, 323, 339 y 348, fin",21.750034,-101.90704
"201, 205, 229, 230 y 233, inicio",20.85922,-103.247267
"201, 205, 229, 230 y 233, fin",21.643272,-102.280663
Libramiento Atotonilco el Alto,20.576813,-102.526223
Libramiento Sur Lagos de Moreno,21.300691,-101.947986
