Nombre,Latitud,Longitud
"Carretera 349, inicio",20.781877,-102.785366
"Carretera 349, fin",20.882332,-102.702205
"Carretera 314, inicio",20.886955,-102.710368
"Carretera 314, fin",20.698378,-102.318544
"Carretera 326, inicio",20.808534,-102.754282
"Carretera 326, fin",20.581557,-102.498183
"Carretera 313, inicio",20.744272,-102.53547
"Carretera 313, fin",20.674947,-102.565134
"Carretera 351, inicio",20.683045,-102.354796
"Carretera 351, fin",20.586406,-102.378799
"Carretera 331, inicio",20.566039,-102.457535
"Carretera 331, fin",20.532193,-102.532515
"Carretera 319, inicio",20.583046,-101.979698
"Carretera 319, fin",20.551074,-102.054278
